id,name,artist,album,image_url,preview_url,predicted_emoji,mood_label,language
365430197,Love,Brown Eyed Girls,With L.O.V.E Brown Eyed Girls,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/64/f8/b9/64f8b962-8d45-919e-fbf9-929162445679/mzi.otpsqmhh.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/ed/22/58/ed22584a-5d72-00ed-0dd8-505b3e837e28/mzaf_16342566057704934623.plus.aac.p.m4a,🥰,Romantic,Korean
1710210263,Love,MONSTA X,Shape of Love - EP,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/8f/a2/57/8fa257ac-764c-04a6-6414-0eddc4f394db/4050538765977.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/eb/aa/22/ebaa2233-e43b-5bcb-1484-8dc259e50c38/mzaf_4381543793783965075.plus.aac.p.m4a,🥰,Romantic,Korean
1234834113,LOVE (feat. Taeyang),PSY,PSY 8th 4X2=8,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/e4/0e/d4/e40ed47b-9192-223d-100e-81b87f422c07/PSY_COVER_4000x4000.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/f1/fd/93/f1fd93ed-3b5d-eab9-3637-f4a8cd7a1871/mzaf_14488692342212284947.plus.aac.p.m4a,🥰,Romantic,Korean
1659513445,OMG,NewJeans,NewJeans 'OMG' - Single,https://is1-ssl.mzstatic.com/image/thumb/Music113/v4/48/96/08/4896085e-b550-cb0a-3e5b-1f203521cb82/196922265464_Cover.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/a7/d4/4a/a7d44a6d-0044-36dc-4061-a90fb469c849/mzaf_14382190698601624004.plus.aac.p.m4a,🥰,Romantic,Korean
1709554997,Standing Next to You,Jung Kook,GOLDEN,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/86/78/b4/8678b4b3-2341-7239-b6cb-bcfdaef0e4e0/196922656545_Cover.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/94/aa/78/94aa78cf-b2a2-0278-a40b-b8baeba1554c/mzaf_5425735403108431527.plus.aac.p.m4a,🥰,Romantic,Korean
1460714067,If We Never Met,John K,if we never met - EP,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/e0/1c/f6/e01cf61d-e6e9-a151-7467-672c0d517763/886447671597.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/62/43/18/62431832-2b59-f778-6ed9-e50b1505de4c/mzaf_12325596915556296075.plus.aac.p.m4a,🥰,Romantic,Korean
1060494856,Wedding,SHINHWA,Wedding - The 6th Album,https://is1-ssl.mzstatic.com/image/thumb/Music69/v4/b1/14/9f/b1149f4a-8079-fd97-f07a-ade707ca50c6/shinhwa_6th.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/32/75/c1/3275c141-ed48-aa6b-39e0-dd0862007d92/mzaf_17225902794168664783.plus.aac.p.m4a,🥰,Romantic,Korean
1161504026,Chunky,Bruno Mars,24K Magic,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/e3/47/a0/e347a0cc-87ce-5d05-d560-176c7d48f66e/075679904119.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/f1/a4/d1/f1a4d1cc-418c-cbf3-5c7e-ce597de2ca19/mzaf_13772276272950385061.plus.aac.p.m4a,🥰,Romantic,Korean
1499306583,Go Back,SE SO NEON,Nonadaptation,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/fc/0b/b4/fc0bb4e9-3f0f-3e65-6d58-53f86e1f8140/8809325062258.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/37/e8/d4/37e8d44f-9439-c184-8361-0376b8a0760c/mzaf_9070600414136664958.plus.aac.p.m4a,😠,Angry,Korean
1422955211,Livin' On a Prayer,Bon Jovi,Slippery When Wet,https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/40/16/3e/40163e24-6985-b785-d4ea-cbae07d74812/06UMGIM05422.rgb.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/a4/3d/0d/a43d0d8a-a3e4-99cd-62b0-3d9c6ef0ed46/mzaf_11432754577261076674.plus.aac.p.m4a,😠,Angry,Korean
